depth_m;temp_C;DO_mgL
0;7.1953;5.3354
0.018;7.1994;5.1677
0.027;7.1977;5.1597
0.036;7.1977;5.1577
0.036;7.1994;5.1549
0.0539;7.1983;5.1534
0.045;7.1977;5.1511
0.045;7.2;5.1489
0.0629;7.1994;5.147
0.045;7.2006;5.1448
0.045;7.1983;5.1432
0.0539;7.1988;5.1414
0.045;7.1971;5.1397
0.0539;7.1988;5.1378
0.0539;7.1971;5.1367
0.045;7.1953;5.1353
0.0539;7.1959;5.1339
0.045;7.1947;5.1331
0.045;7.1929;5.1323
0.045;7.1941;5.1315
0.045;7.1941;5.1312
0.045;7.1935;5.1312
0.036;7.1941;5.1315
0.0539;7.1935;5.1319
0.0629;7.1971;5.1321
0.036;7.1971;5.1331
0.045;7.1959;5.1346
0.045;7.1971;5.1361
0.045;7.1971;5.1377
0.0539;7.1971;5.1394
0.0629;7.1983;5.1412
0.0988;7.1393;6.2725
0.1527;7.1529;6.3571
0.1527;7.1694;6.4525
0.1438;7.177;6.5377
0.1617;7.1729;6.6083
0.1707;7.1723;6.6592
0.1438;7.1723;6.6892
0.1527;7.1871;6.698
0.1797;7.1859;6.6945
0.1617;7.1782;6.679
0.1348;7.1776;6.6527
0.1617;7.1729;6.6185
0.2066;7.1711;6.5789
0.2156;7.1759;6.5333
0.1976;7.1776;6.4842
0.1976;7.1794;6.4344
0.2066;7.1776;6.3872
0.2066;7.177;6.3411
0.1887;7.1853;6.2933
0.1976;7.1865;6.2476
0.1976;7.1865;6.2025
0.1976;7.1835;6.1594
0.1976;7.1835;6.1175
0.1976;7.1829;6.0777
0.1617;7.1841;6.0383
0.1617;7.1841;6.0004
0.1617;7.1865;5.9641
0.1976;7.1871;5.9314
0.1617;7.1894;5.9
0.1617;7.1924;5.8699
0.1707;7.1947;5.8412
0.1707;7.1929;5.8148
0.1887;7.19;5.7905
0.1887;7.1871;5.7678
0.2336;7.1788;5.7482
0.2605;7.177;5.73
0.2964;7.177;5.7115
0.3593;7.1776;5.6943
0.4312;7.177;5.6779
0.485;7.1759;5.6636
0.5389;7.1776;5.6504
0.5479;7.1782;5.6372
0.5838;7.177;5.6238
0.6377;7.177;5.6133
0.6736;7.1812;5.6028
0.7006;7.1788;5.5932
0.7455;7.1776;5.5835
0.7635;7.177;5.5743
0.7635;7.177;5.5651
0.7904;7.1764;5.5563
0.8263;7.18;5.5479
0.8443;7.1782;5.5412
0.8533;7.1806;5.534
0.8982;7.1812;5.5273
0.9341;7.1812;5.5207
0.961;7.1823;5.5136
0.997;7.1829;5.5072
1.0149;7.1835;5.5012
1.0239;7.1841;5.4949
1.0598;7.1876;5.4885
1.0868;7.1865;5.4827
1.1317;7.1865;5.4777
1.1496;7.1859;5.4722
1.1227;7.1859;5.4683
1.1317;7.1859;5.4646
1.1676;7.1871;5.4592
1.1945;7.1859;5.4538
1.2035;7.1865;5.4481
1.2394;7.1853;5.4436
1.2664;7.1871;5.4384
1.2843;7.1859;5.4343
1.2933;7.1841;5.4299
1.3023;7.1865;5.4257
1.3292;7.1847;5.4219
1.3203;7.1853;5.4179
1.3113;7.1859;5.4139
1.3203;7.1847;5.4097
1.3472;7.1853;5.4057
1.4011;7.1835;5.401
1.4101;7.1835;5.3964
1.446;7.1847;5.3916
1.4819;7.1841;5.3871
1.5178;7.1853;5.3829
1.5268;7.1847;5.383
1.5089;7.1829;5.3869
1.5268;7.1835;5.3868
1.5448;7.1835;5.3842
1.5807;7.1841;5.3831
1.5897;7.1835;5.3819
1.5987;7.1829;5.3826
1.5807;7.1835;5.3835
1.6166;7.1841;5.3828
1.6346;7.1835;5.3809
1.6525;7.1812;5.3795
1.6795;7.1829;5.377
1.6705;7.1835;5.3739
1.6525;7.1823;5.3715
1.6885;7.1835;5.369
1.6974;7.1841;5.3673
1.7154;7.1829;5.3655
1.7513;7.1823;5.3632
1.7873;7.1853;5.3612
1.7962;7.1847;5.3603
1.8052;7.1829;5.3589
1.8232;7.1835;5.3578
1.8501;7.1806;5.3565
1.904;7.1818;5.3557
1.9399;7.1823;5.355
1.9489;7.1829;5.3542
1.9669;7.1812;5.3541
1.9758;7.1818;5.3547
1.9848;7.1835;5.3552
2.0118;7.1829;5.3556
2.0477;7.1823;5.3566
2.0656;7.1818;5.3574
2.0836;7.1823;5.3576
2.0926;7.1829;5.3582
2.1016;7.1841;5.358
2.1195;7.1841;5.358
2.1195;7.1841;5.358
2.1375;7.1829;5.3582
2.1644;7.1823;5.3563
2.2183;7.1829;5.3552
2.2183;7.1847;5.3537
2.2093;7.1829;5.3529
2.2003;7.1835;5.3515
2.2183;7.1847;5.3504
2.2273;7.1823;5.349
2.2991;7.1823;5.3471
2.3171;7.1829;5.3453
2.344;7.1818;5.3442
2.371;7.1823;5.3425
2.4069;7.1841;5.3402
2.4608;7.1812;5.339
2.5057;7.1829;5.3378
2.5506;7.1818;5.3373
2.5865;7.1829;5.3368
2.6493;7.1835;5.337
2.6853;7.1818;5.3376
2.7302;7.1829;5.3384
2.7571;7.1841;5.3396
2.802;7.1841;5.3409
2.8469;7.1823;5.3425
2.8738;7.1841;5.3442
2.9098;7.1835;5.3466
2.9457;7.1835;5.3479
2.9996;7.1823;5.3504
3.0355;7.1818;5.3518
3.0624;7.1812;5.3538
3.0894;7.1823;5.3556
3.1432;7.1812;5.3568
3.2061;7.18;5.3579
3.233;7.1806;5.3588
3.2779;7.1812;5.3594
3.2959;7.1812;5.3601
3.3587;7.1823;5.3606
3.4036;7.1829;5.3612
3.4485;7.1806;5.3625
3.4575;7.1823;5.3629
3.4755;7.1812;5.3634
3.5024;7.1818;5.3636
3.5383;7.1818;5.3636
3.5563;7.1806;5.3631
3.5832;7.1818;5.363
3.6102;7.1812;5.3627
3.6281;7.1812;5.3624
3.6551;7.18;5.3612
3.682;7.1782;5.3608
3.7359;7.1782;5.3592
3.7628;7.1794;5.358
3.7448;7.1788;5.3571
3.7808;7.1794;5.356
3.8346;7.1794;5.3541
3.8795;7.1782;5.3535
3.9155;7.1788;5.3525
3.9334;7.1788;5.3515
3.9603;7.1788;5.3508
4.0052;7.1776;5.3497
4.0052;7.18;5.3487
4.0322;7.1788;5.3479
4.0681;7.1776;5.347
4.0861;7.18;5.3457
4.104;7.1806;5.345
4.104;7.1806;5.3443
4.122;7.1788;5.3442
4.1848;7.18;5.3424
4.1938;7.1788;5.3413
4.2118;7.1794;5.3395
4.2207;7.1806;5.3384
4.2567;7.18;5.3372
4.3015;7.1788;5.3353
4.3195;7.1782;5.3348
4.3285;7.1794;5.3336
4.3464;7.1788;5.333
4.4003;7.1782;5.3321
4.4183;7.18;5.3309
4.4362;7.1794;5.3303
4.4632;7.1794;5.3296
4.4901;7.1788;5.3287
4.526;7.18;5.3283
4.553;7.1794;5.328
4.5619;7.1794;5.328
4.5978;7.1806;5.3275
4.6427;7.1794;5.327
4.6517;7.1806;5.3259
4.6697;7.1788;5.3251
4.7146;7.1794;5.324
4.7235;7.1788;5.3231
4.7235;7.1788;5.3221
4.7505;7.18;5.321
4.7684;7.18;5.3203
4.8223;7.177;5.3207
4.8672;7.1782;5.3202
4.8852;7.1782;5.3199
4.9031;7.1782;5.3199
4.957;7.1794;5.3198
5.0019;7.1782;5.3199
5.0109;7.1794;5.3198
5.0198;7.1782;5.3199
5.0558;7.18;5.3193
5.0827;7.1782;5.3206
5.0917;7.1794;5.3201
5.1096;7.1782;5.3206
5.1545;7.1782;5.3209
5.1814;7.1776;5.3206
5.1994;7.1776;5.3206
5.2174;7.1782;5.3209
5.2623;7.1788;5.3208
5.2802;7.18;5.321
5.3161;7.1806;5.3209
5.3431;7.1812;5.3205
5.3879;7.1806;5.3203
5.4149;7.18;5.32
5.4149;7.1806;5.3193
5.4418;7.1794;5.3194
5.4598;7.18;5.3184
5.5136;7.1812;5.3182
5.5226;7.1806;5.318
5.5316;7.1806;5.318
5.5316;7.18;5.3177
5.5496;7.1794;5.3178
5.5585;7.1806;5.317
5.5765;7.1812;5.3172
5.5944;7.18;5.3167
5.6214;7.1806;5.316
5.6393;7.1806;5.315
5.6393;7.1829;5.3134
5.6483;7.1823;5.3118
5.6752;7.1812;5.3109
5.6842;7.1812;5.3093
5.7112;7.1823;5.3075
5.7201;7.1818;5.3063
5.7471;7.1806;5.3054
5.765;7.1806;5.3041
5.765;7.1818;5.303
5.792;7.1806;5.3018
5.8279;7.1806;5.3008
5.8728;7.1818;5.2993
5.9087;7.1823;5.2979
5.9356;7.1806;5.2965
5.9356;7.18;5.2953
5.9805;7.1806;5.2942
6.0074;7.1812;5.2931
6.0254;7.18;5.2923
6.0613;7.1818;5.2911
6.0793;7.18;5.291
6.0793;7.18;5.2907
6.1062;7.1806;5.2902
6.1062;7.1782;5.2909
6.1152;7.1776;5.291
6.1152;7.1788;5.2915
6.196;7.1782;5.2919
6.178;7.1806;5.2916
6.169;7.18;5.2923
6.2049;7.1806;5.2919
6.2498;7.1782;5.2925
6.2678;7.1812;5.2925
6.2588;7.1794;5.2934
6.2857;7.1806;5.2935
6.2857;7.1806;5.2945
6.3217;7.1806;5.2955
6.3396;7.1812;5.2961
6.3935;7.1812;5.2964
6.4384;7.1782;5.2978
6.4563;7.1788;5.2981
6.5012;7.177;5.2983
6.5192;7.177;5.298
6.564;7.1782;5.2978
6.6;7.1776;5.2979
6.6359;7.1759;5.2981
6.6718;7.1776;5.2982
6.7077;7.177;5.299
6.7346;7.1759;5.2998
6.7526;7.1764;5.301
6.7705;7.177;5.3016
6.8064;7.1764;5.3027
6.8154;7.1747;5.3032
6.8244;7.1776;5.3035
6.8603;7.177;5.3036
6.8872;7.177;5.3029
6.8962;7.1764;5.3023
6.9321;7.1764;5.3017
6.968;7.177;5.3009
7.0039;7.177;5.3003
7.0578;7.1753;5.3008
7.0758;7.1759;5.3004
7.1206;7.1759;5.3011
7.1476;7.1747;5.3019
7.2014;7.1747;5.3026
7.2194;7.1753;5.3035
7.2732;7.1759;5.3041
7.3092;7.1753;5.3051
7.354;7.1747;5.3062
7.372;7.1782;5.3067
7.363;7.1759;5.3077
7.363;7.1753;5.3081
7.372;7.177;5.3089
7.372;7.1741;5.3099
7.372;7.177;5.3102
7.372;7.1759;5.311
7.372;7.1759;5.3113
7.372;7.177;5.3115
7.3899;7.1764;5.3116
7.381;7.1776;5.3117
7.3899;7.1759;5.3123
7.4259;7.177;5.3118
7.4438;7.1753;5.3117
7.5066;7.1764;5.3109
7.5426;7.1776;5.3098
7.5695;7.1753;5.3084
7.5874;7.1776;5.3071
7.6144;7.1764;5.306
7.6413;7.177;5.3042
7.6682;7.1753;5.3035
7.6682;7.1747;5.3022
7.6862;7.1764;5.3013
7.7221;7.1759;5.3008
7.758;7.1759;5.3001
7.758;7.177;5.2993
7.7849;7.1764;5.299
7.8029;7.1759;5.2991
7.7939;7.177;5.2986
7.8029;7.177;5.299
7.8029;7.1759;5.2991
7.8298;7.1764;5.299
7.8298;7.1759;5.2991
7.8388;7.177;5.299
7.8657;7.1764;5.2984
7.9016;7.1759;5.2978
7.9016;7.1753;5.2969
7.9286;7.1753;5.2959
7.9375;7.1776;5.2946
7.9645;7.1764;5.2938
7.9734;7.1753;5.2926
7.9914;7.1753;5.2919
8.0363;7.1753;5.2906
8.0363;7.1753;5.29
8.0453;7.1747;5.2894
8.0901;7.1764;5.2885
8.153;7.1759;5.2882
8.153;7.1747;5.2881
8.1619;7.1753;5.2876
8.1619;7.1741;5.2875
8.1709;7.1764;5.2868
8.1709;7.1747;5.2864
8.1889;7.177;5.2861
8.2068;7.1753;5.286
8.2338;7.1759;5.2853
8.2338;7.1753;5.2844
8.2427;7.177;5.2825
8.2338;7.177;5.2815
8.2338;7.1759;5.2803
8.2517;7.1759;5.279
8.2966;7.1759;5.278
8.3415;7.1764;5.2763
8.3684;7.1759;5.2754
8.3684;7.1735;5.2747
8.4043;7.1741;5.2733
8.4133;7.177;5.2719
8.4133;7.1747;5.2712
8.4133;7.1759;5.2701
8.4223;7.1753;5.2692
8.4671;7.1764;5.2684
8.4671;7.1759;5.2678
8.4851;7.1759;5.2675
8.5031;7.1753;5.2672
8.521;7.1759;5.2661
8.5659;7.1753;5.2659
8.5838;7.1776;5.2649
8.5838;7.177;5.265
8.6197;7.1753;5.2652
8.6197;7.1759;5.2648
8.6467;7.1747;5.2653
8.6736;7.1759;5.2658
8.6826;7.177;5.2663
8.6916;7.1753;5.2672
8.7095;7.1729;5.2688
8.7723;7.1759;5.2691
8.8172;7.177;5.2703
8.8441;7.1764;5.2713
8.88;7.1759;5.2727
8.907;7.1753;5.2738
8.9339;7.1747;5.2752
8.9788;7.1764;5.276
8.9788;7.1764;5.2773
8.9698;7.1759;5.2787
8.9878;7.1747;5.2801
9.0147;7.1747;5.2811
9.0416;7.1753;5.282
9.0685;7.1735;5.2829
9.0775;7.1753;5.2827
9.0865;7.1741;5.2825
9.1224;7.1747;5.2821
9.1493;7.1753;5.282
9.1673;7.177;5.2815
9.1763;7.1741;5.2812
9.1942;7.1753;5.2804
9.1852;7.1741;5.2799
9.2301;7.1747;5.2795
9.2391;7.1753;5.2787
9.2481;7.1753;5.2778
9.284;7.1747;5.2775
9.275;7.1753;5.2771
9.284;7.1764;5.2763
9.2929;7.1747;5.2762
9.284;7.1759;5.2757
9.3109;7.1759;5.2754
9.3378;7.1753;5.2748
9.3558;7.1764;5.2743
9.3558;7.177;5.2732
9.3827;7.1782;5.2724
9.4007;7.1759;5.2717
9.4186;7.1764;5.2707
9.4366;7.1764;5.2703
9.4186;7.177;5.2696
9.4366;7.177;5.2693
9.4545;7.1782;5.2688
9.4814;7.1764;5.2687
9.4814;7.1776;5.2689
9.4994;7.1776;5.2679
9.5532;7.1764;5.2677
9.5891;7.1741;5.2677
9.6071;7.1747;5.2673
9.634;7.1747;5.2666
9.634;7.1747;5.2666
9.6789;7.1747;5.2666
9.7058;7.1735;5.2674
9.6968;7.1747;5.2676
9.6968;7.1759;5.2678
9.6968;7.1741;5.2683
9.7058;7.1753;5.2688
9.7058;7.1741;5.2693
9.7058;7.1741;5.2693
9.7238;7.1753;5.2692
9.7148;7.1759;5.2691
9.7148;7.1764;5.2684
9.7148;7.1759;5.2675
9.7328;7.1759;5.2661
9.7507;7.1753;5.2646
9.7597;7.1759;5.2628
9.7776;7.1747;5.261
9.7956;7.1753;5.259
9.8225;7.1747;5.2567
9.8584;7.1764;5.2539
9.9123;7.1753;5.252
9.9482;7.1747;5.2501
9.9841;7.1764;5.2482
10.0379;7.1747;5.2475
10.0559;7.1735;5.247
10.0828;7.1741;5.2472
10.1277;7.1759;5.248
10.1725;7.1753;5.25
10.1995;7.1747;5.2518
10.2354;7.1753;5.2537
10.2533;7.1735;5.2562
10.2713;7.1741;5.2584
10.3072;7.1741;5.2611
10.3521;7.1764;5.2631
10.379;7.1741;5.266
10.4328;7.1747;5.2679
10.4598;7.1753;5.2695
10.4687;7.1729;5.2718
10.5136;7.1741;5.2733
10.5495;7.1735;5.275
10.5854;7.1747;5.2768
10.6213;7.1747;5.2785
10.6482;7.1729;5.2804
10.6572;7.1747;5.2818
10.7111;7.1759;5.283
10.6931;7.1741;5.2848
10.72;7.1753;5.2857
10.729;7.1741;5.2868
10.7559;7.1747;5.2884
10.7739;7.1747;5.2894
10.7918;7.1741;5.2901
10.7918;7.1759;5.2902
10.8008;7.1759;5.2905
10.8188;7.177;5.2897
10.8457;7.1764;5.2895
10.8636;7.1759;5.2882
10.8636;7.1747;5.2874
10.9085;7.1753;5.2863
10.9354;7.1747;5.2854
10.9623;7.1741;5.2845
10.9982;7.1753;5.284
10.9982;7.1753;5.2837
10.9893;7.1747;5.2838
11.0252;7.1753;5.2847
11.0611;7.1747;5.2854
11.088;7.1741;5.2862
11.1239;7.1747;5.2864
11.1149;7.1747;5.2874
11.1508;7.1723;5.2884
11.1598;7.1753;5.2886
11.2047;7.1747;5.2894
11.2406;7.1741;5.2898
11.2854;7.1747;5.2904
11.3393;7.1735;5.2912
11.3662;7.1747;5.2917
11.4021;7.1753;5.2926
11.4111;7.1735;5.2935
11.4649;7.1741;5.2947
11.5008;7.1747;5.2953
11.5457;7.1723;5.2966
11.5816;7.1735;5.2974
11.5906;7.1729;5.2979
11.5995;7.1747;5.2979
11.6085;7.1735;5.2984
11.6624;7.1747;5.2979
11.7162;7.1747;5.2979
11.7431;7.1747;5.2979
11.797;7.1735;5.2978
11.8329;7.1747;5.2976
11.8867;7.1747;5.2979
11.9047;7.1723;5.2986
11.9495;7.1753;5.2982
11.9585;7.1747;5.2989
11.9854;7.1735;5.2998
12.0303;7.1753;5.2999
12.0213;7.1764;5.3004
12.0303;7.1759;5.3004
12.0393;7.1759;5.3004
12.0752;7.1741;5.3003
12.0931;7.1747;5.2999
12.1111;7.1747;5.2996
12.129;7.1735;5.2994
12.1559;7.1759;5.2988
12.1918;7.1759;5.2981
12.2457;7.1753;5.2982
12.2547;7.177;5.2976
12.3175;7.1759;5.2978
12.3534;7.1759;5.2978
12.3803;7.1782;5.2975
12.3893;7.177;5.298
12.4341;7.1776;5.2982
12.47;7.1788;5.2987
12.479;7.1788;5.2994
12.5239;7.1782;5.2998
12.5329;7.1759;5.3011
12.5508;7.1764;5.3013
12.6046;7.1776;5.3019
12.6136;7.1782;5.3024
12.6405;7.1788;5.3027
12.6675;7.1782;5.3031
12.7123;7.1753;5.3038
12.7482;7.1764;5.3037
12.7482;7.177;5.3036
12.7751;7.1753;5.3038
12.7751;7.1747;5.3042
12.82;7.1759;5.3044
12.838;7.1764;5.3046
12.9008;7.1764;5.305
12.9277;7.1764;5.3053
12.9367;7.1759;5.3057
12.9636;7.1741;5.3066
12.9905;7.1729;5.3071
13.0085;7.17;5.3081
13.0444;7.1706;5.3084
13.0533;7.1682;5.3087
13.0713;7.1682;5.3084
13.1161;7.17;5.3078
13.1431;7.1682;5.3074
13.161;7.1641;5.3073
13.161;7.1658;5.3057
13.2059;7.1647;5.3045
13.3046;7.1664;5.303
13.3584;7.1658;5.3024
13.3853;7.1658;5.3014
13.4033;7.1658;5.3004
13.4571;7.1652;5.2995
13.493;7.1664;5.2984
13.5558;7.1647;5.2983
13.5648;7.1658;5.2975
13.6097;7.1664;5.2971
13.6366;7.1658;5.2961
13.6815;7.1652;5.2956
13.6994;7.1635;5.2948
13.7263;7.1629;5.2939
13.7443;7.1611;5.2928
13.7712;7.1617;5.2914
13.7802;7.1623;5.2903
13.8071;7.1605;5.2896
13.8161;7.1617;5.2878
13.8519;7.1605;5.2866
13.8609;7.1588;5.2849
13.8878;7.1605;5.2833
13.9148;7.1605;5.2817
13.9237;7.1599;5.2798
13.9327;7.1594;5.2782
13.9776;7.1599;5.2765
14.0224;7.1588;5.2753
14.0763;7.1594;5.2739
14.1122;7.1611;5.2723
14.1301;7.1611;5.271
14.1301;7.1588;5.2703
14.1929;7.1588;5.2697
14.1929;7.1605;5.2685
14.2288;7.1594;5.2676
14.3006;7.1594;5.267
14.3185;7.1588;5.2664
14.3275;7.1588;5.2661
14.3724;7.1594;5.265
14.3724;7.157;5.265
14.4083;7.1576;5.2642
14.4442;7.1582;5.2638
14.4531;7.1576;5.2639
14.4621;7.1582;5.2638
14.4711;7.1588;5.2631
14.4621;7.1582;5.2632
14.4442;7.1582;5.2625
14.4711;7.1582;5.2618
14.4711;7.157;5.261
14.4621;7.1582;5.2599
14.4621;7.1588;5.2581
14.4621;7.157;5.2567
14.489;7.1576;5.2547
14.489;7.1582;5.2519
14.489;7.1594;5.2498
14.507;7.1594;5.2475
14.5518;7.1588;5.2449
14.5877;7.1588;5.242
14.6326;7.1594;5.2393
14.6416;7.1582;5.2368
14.6685;7.1576;5.2342
14.7133;7.157;5.232
14.7402;7.1576;5.2299
14.7582;7.1582;5.2279
14.7761;7.1576;5.2269
14.7761;7.1588;5.2261
14.7941;7.1576;5.2253
14.821;7.1576;5.2253
14.8748;7.157;5.2254
14.8838;7.1582;5.2255
14.8928;7.1582;5.2259
14.9018;7.157;5.226
14.9197;7.1558;5.2259
14.9466;7.1552;5.2259
14.9646;7.1576;5.2253
14.9735;7.1582;5.2246
14.9735;7.1576;5.2243
15.0094;7.1564;5.2238
15.0363;7.1588;5.2228
15.0812;7.1582;5.2219
15.0991;7.1564;5.2208
15.135;7.1576;5.2194
15.162;7.157;5.2184
15.1799;7.1582;5.2166
15.2158;7.157;5.2155
15.2248;7.1582;5.2143
15.2696;7.1576;5.2134
15.2965;7.1576;5.2131
15.3504;7.1558;5.2127
15.3952;7.1576;5.2121
15.4311;7.1564;5.2122
15.4311;7.1564;5.2119
15.476;7.157;5.2122
15.4939;7.1564;5.2122
15.5567;7.1546;5.2125
15.5747;7.1552;5.2127
15.5926;7.1552;5.2131
15.6375;7.1576;5.2137
15.6734;7.1594;5.2147
15.6823;7.1635;5.2143
15.6913;7.1664;5.2141
15.7092;7.1664;5.2143
15.7182;7.1694;5.2132
15.7092;7.1706;5.2081
15.7092;7.1729;5.1899
15.6913;7.1747;5.1488
15.7092;7.1723;5.0775
15.7003;7.1741;4.9738
15.7003;7.1764;4.8436
15.7362;7.1759;4.6953
15.7272;7.1729;4.5331
15.7092;7.1735;4.3641
15.7272;7.1735;4.1936
15.7003;7.1764;4.0274
15.7092;7.1759;3.8683
15.7092;7.1741;3.717
15.7272;7.177;3.5732
15.7182;7.177;3.438
15.7092;7.1782;3.312
15.7003;7.1747;3.195
15.6913;7.167;3.0839
15.7092;7.1741;2.9775
15.7003;7.1788;2.8796
15.7003;7.1794;2.792
15.6823;7.1682;2.7169
15.7092;7.1652;2.6544
15.7272;7.17;2.6028
15.6913;7.1706;2.5663
15.6913;7.1652;2.5505
15.6913;7.1641;2.5614
15.6913;7.1647;2.6007
15.6823;7.1629;2.6634
15.6823;7.1629;2.7466
15.7003;7.1605;2.8454
15.6913;7.1635;2.9553
15.7092;7.1694;3.0706
15.7003;7.17;3.1891
15.6823;7.1647;3.3057
15.6823;7.1641;3.4172
15.7003;7.1647;3.521
15.7182;7.1688;3.6163
15.7362;7.1717;3.7051
